STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
MOM00060230,"MENARA, MO",2002-11-29,0,59,65,
MOM00060230,"MENARA, MO",2002-11-30,0,55,,
MOM00060230,"MENARA, MO",2002-12-01,0,55,64,46
MOM00060230,"MENARA, MO",2002-12-02,0,55,,
MOM00060230,"MENARA, MO",2002-12-03,0,60,69,
MOM00060230,"MENARA, MO",2002-12-04,0,58,71,47
MOM00060230,"MENARA, MO",2002-12-05,0,56,67,
MOM00060230,"MENARA, MO",2002-12-06,0,54,64,
MOM00060230,"MENARA, MO",2002-12-07,0,51,62,
MOM00060230,"MENARA, MO",2002-12-08,0,50,61,
MOM00060230,"MENARA, MO",2002-12-09,0,51,,
MOM00060230,"MENARA, MO",2002-12-10,,57,61,
MOM00060230,"MENARA, MO",2002-12-11,0.16,54,58,
MOM00060230,"MENARA, MO",2002-12-12,0.01,59,70,50
MOM00060230,"MENARA, MO",2002-12-13,0,68,,58
MOM00060230,"MENARA, MO",2002-12-14,0,61,,
MOM00060230,"MENARA, MO",2002-12-15,0,61,,
MOM00060230,"MENARA, MO",2002-12-16,0,67,83,
MOM00060230,"MENARA, MO",2002-12-17,,69,,64
MOM00060230,"MENARA, MO",2002-12-18,0.08,62,,59
MOM00060230,"MENARA, MO",2002-12-19,0.16,61,71,
MOM00060230,"MENARA, MO",2002-12-20,0,55,,
MOM00060230,"MENARA, MO",2002-12-22,,66,76,
MOM00060230,"MENARA, MO",2002-12-23,0,61,72,51
MOM00060230,"MENARA, MO",2002-12-24,0,59,72,
MOM00060230,"MENARA, MO",2002-12-25,0,59,,
MOM00060230,"MENARA, MO",2002-12-26,0,57,72,
MOM00060230,"MENARA, MO",2002-12-27,,53,,
MOM00060230,"MENARA, MO",2002-12-28,0,56,63,
MOM00060230,"MENARA, MO",2002-12-29,0,54,67,
MOM00060230,"MENARA, MO",2002-12-30,0,56,68,
MOM00060230,"MENARA, MO",2002-12-31,0,58,72,
MOM00060230,"MENARA, MO",2003-01-01,0,57,72,
MOM00060230,"MENARA, MO",2003-01-02,0,59,76,
MOM00060230,"MENARA, MO",2003-01-03,0,59,74,50
MOM00060230,"MENARA, MO",2003-01-04,0,58,72,
MOM00060230,"MENARA, MO",2003-01-05,0,56,66,
MOM00060230,"MENARA, MO",2003-01-06,,56,62,52
MOM00060230,"MENARA, MO",2003-01-07,0,56,,
MOM00060230,"MENARA, MO",2003-01-08,,53,61,46
MOM00060230,"MENARA, MO",2003-01-09,0,53,60,
MOM00060230,"MENARA, MO",2003-01-10,0.16,49,52,
MOM00060230,"MENARA, MO",2003-01-11,0,44,53,
MOM00060230,"MENARA, MO",2003-01-12,,44,53,
MOM00060230,"MENARA, MO",2003-01-13,0,45,,
MOM00060230,"MENARA, MO",2003-01-14,0,49,60,
MOM00060230,"MENARA, MO",2003-01-15,0,43,,
MOM00060230,"MENARA, MO",2003-01-16,0,46,,
MOM00060230,"MENARA, MO",2003-01-17,0,46,62,34
MOM00060230,"MENARA, MO",2003-01-18,0,49,,
MOM00060230,"MENARA, MO",2003-01-19,0,50,65,39
